vehicle_name,stock_number,status,location,fuel_type,sleeps,length,sales_price (USD),horse_power
2020 WINNEBAGO VITA 24P,2207256P,Used,"Fresno, CA",,5,24 ft 7 in,109999,N/A
2016 THOR SYNERGY CB24,2207430,Used,"Fort Worth, TX",,6,24 ft 6 in,109999,N/A
2020 WINNEBAGO VITA 24P,2168934P,Used,"Camping World of Reno - Reno, NV",,5,24 ft 7 in,110999,N/A
2019 WINNEBAGO FUSE 23A,2184307P,Used,"Rossford, OH",,4,24 ft 0 in,110999,N/A
2017 WINNEBAGO NAVION 24J,2208206,Used,"Hendersonville, NC",,4,25 ft 5 in,110999,N/A
2017 THOR CHATEAU CITATION 24SR,2193434,Used,"Camping World of Buford - Buford, GA",,5,24 ft 10 in,110099,N/A
2016 AIRSTREAM INTERSTATE GRAND TOUR EXT,2177631,Used,"Nashville, TN",,2,24 ft 4 in,110995,N/A
2018 THOR CHATEAU CITATION 24ST,2206490,Used,"New River, AZ",,4,26 ft 0 in,111499,N/A
2019 THOR SYNERGY 24ST,2193695,Used,"Syracuse, NY",,4,25 ft 10 in,111999,N/A
2018 WINNEBAGO NAVION 24D,2206095P,Used,"Rossford, OH",,5,25 ft 7 in,111999,N/A
2020 JAYCO MELBOURNE 24L,2191403P,Used,"Vacaville, CA",,5,25 ft 2 in,111199,N/A
2012 MONACO VESTA 35PBD,2159839,Used,"Anniston, AL",,4,36 ft 8 in,112999,N/A
2019 THOR SYNERGY 24SK,2166660,Used,"Fort Myers, FL",,5,25 ft 10 in,112999,N/A
2018 WINNEBAGO VIEW 24J,2171090P,Used,"Birch Run, MI",,4,25 ft 8 in,112999,N/A
2020 COACHMEN PRISM 2200FS,2177823,Used,"Fort Pierce, FL",,5,25 ft 1 in,112999,N/A
2020 FOREST RIVER FORESTER MBS 2401Q,2198144,Used,"Wichita, KS",,5,27 ft 0 in,112999,N/A
2017 WINNEBAGO NAVION 24J,2198743P,Used,"Berkley, MA",,4,25 ft 5 in,112999,N/A
2018 MIDWEST AUTOMOTIVE DESIGN PASSAGE 170 EXT 3500,2203472,Used,"Hendersonville, NC",,2,24 ft 0 in,112999,N/A
2020 JAYCO MELBOURNE 24L,2207759,Used,"Grain Valley, MO",,5,25 ft 2 in,112999,N/A
2020 COACHMEN PRISM 2300DS,2177244,Used,"Jackson, TN",,5,25 ft 1 in,113999,N/A
2017 ROADTREK ROADTREK CS ADVENTUROUS,2177833,Used,"Windham, ME",,4,22 ft 9 in,113999,N/A
2020 WINNEBAGO VITA 24P,2197211,Used,"Thornburg, VA",,5,24 ft 7 in,113999,N/A
